,fruit,path,label
0,Pitaya,dataset/Pitaya/Pitaya001470.png,10
1,muskmelon,dataset/muskmelon/Muskmelon 00563.png,14
2,Guava,dataset/Guava/Guava total/GuavaуАВ2078 resized.png,3
3,Peach,dataset/Peach/Peach00239.png,7
4,Pomegranate,dataset/Pomegranate/Pomegranet001819.png,12
5,Guava,dataset/Guava/Guava total/GuavaуАВ507 resized.png,3
6,Guava,dataset/Guava/Guava total/GuavaуАВ147.png,3
7,Guava,dataset/Guava/Guava total/1GuavaуАВ2891 resized.png,3
8,Guava,dataset/Guava/guava B/Guava700.png,3
9,Guava,dataset/Guava/Guava total/GuavaуАВ360 resized.jpg,3
10,Apple,dataset/Apple/Total Number of Apples/Apple 03281.png,0
11,Tomatoes,dataset/Tomatoes/Tamotoes00278.png,13
12,Apple,dataset/Apple/Apple F/Apple F504.png,0
13,Banana,dataset/Banana/Banana0352.png,1
14,Carambola,dataset/Carambola/Carambola 00564.png,2
15,Mango,dataset/Mango/Mango003373.png,5
16,Pear,dataset/Pear/Pear 1481.png,8
17,Banana,dataset/Banana/Banana02489.png,1
18,Pear,dataset/Pear/Pear 21.png,8
19,Banana,dataset/Banana/Banana01674.png,1
20,Kiwi,dataset/Kiwi/Total Number of Kiwi fruit/Kiwi00152.png,4
21,Guava,dataset/Guava/guava A/scene00561.png,3
22,Plum,dataset/Plum/PlumуАВ2280.png,11
23,Guava,dataset/Guava/Guava total/GuavaуАВ1944 resized.png,3
24,Guava,dataset/Guava/Guava total/GuavaуАВ362 resized resized.png,3
25,Guava,dataset/Guava/Guava total/GuavaуАВ1035.png,3
26,Apple,dataset/Apple/Apple F/Apple F _0_4375.png,0
27,Apple,dataset/Apple/Apple A/Apple 278.png,0
28,Apple,dataset/Apple/Total Number of Apples/Apple 04064.png,0
29,muskmelon,dataset/muskmelon/Muskmelon 001460.png,14
30,Kiwi,dataset/Kiwi/Total Number of Kiwi fruit/Kiwi002685.png,4
31,Guava,dataset/Guava/guava total final/Guava02008.png,3
32,Kiwi,dataset/Kiwi/Total Number of Kiwi fruit/Kiwi003661.png,4
33,Orange,dataset/Orange/Orange001074.png,6
34,Apple,dataset/Apple/Apple E/Apple E0488.png,0
35,Kiwi,dataset/Kiwi/Kiwi C/Kiwi C00137.png,4
36,Pear,dataset/Pear/Pear 481.png,8
37,Kiwi,dataset/Kiwi/kiwi A/Kiwi A0025.png,4
38,Carambola,dataset/Carambola/Carambola 00347.png,2
39,Persimmon,dataset/Persimmon/Persimmon1023.png,9
40,Guava,dataset/Guava/Guava total/GuavaуАВ1108.png,3
41,Pear,dataset/Pear/Pear 561.png,8
42,Guava,dataset/Guava/Guava total/GuavaуАВ996 resized.jpg,3
43,Peach,dataset/Peach/Peach00445.png,7
44,Guava,dataset/Guava/Guava total/GuavaуАВ2014 resized.jpg,3
45,Kiwi,dataset/Kiwi/Total Number of Kiwi fruit/Kiwi003183.png,4
46,Guava,dataset/Guava/Guava total/GuavaуАВ1542.png,3
47,Orange,dataset/Orange/Orange001911.png,6
48,Guava,dataset/Guava/guava total final/Guava02219.png,3
49,Plum,dataset/Plum/PlumуАВ1678.png,11
50,Apple,dataset/Apple/Apple F/Apple F _0_2025.png,0
51,Guava,dataset/Guava/Guava total/GuavaуАВ538 resized resized.png,3
52,Apple,dataset/Apple/Apple F/Apple F _0_7992.png,0
53,Pomegranate,dataset/Pomegranate/Pomegranet001396.png,12
54,Guava,dataset/Guava/guava total final/Guava02561.png,3
55,Guava,dataset/Guava/Guava total/GuavaуАВ2111 resized.png,3
56,Banana,dataset/Banana/Banana02857.png,1
57,Orange,dataset/Orange/Orange002974.png,6
